KCL補正液キット20mEq
アデラビン9号注1mL
アデラビン9号注2mL
アデール点滴静注用5mg
アルガトロバン注射液10mg「SN」
アルタット静注用75mg
イオパミドール(370)50mLキット
イオパミドール300注シリンジ100mL「HK」
イオパミドール300注シリンジ50mL「HK」
イオパミドール300注シリンジ80mL「HK」
イオパミドール370注シリンジ100mL「HK」
イオパミドール370注シリンジ65mL「HK」
イオパミドール370注シリンジ80mL「HK」
イオヘキソール300注シリンジ100mL「HK」
イオヘキソール300注シリンジ110mL「HK」
イオヘキソール300注シリンジ125mL「HK」
イオヘキソール300注シリンジ150mL「HK」
イオヘキソール300注シリンジ50mL「HK」
イオヘキソール300注シリンジ80mL「HK」
イオヘキソール350注シリンジ100mL「HK」
イオヘキソール350注シリンジ70mL「HK」
イリノテカン塩酸塩点滴静注液40mg「サワイ」
エダラボン点滴静注30mgバッグ「トーワ」
エピルビシン塩酸塩注射液10mg／5mL「サワイ」
エピルビシン塩酸塩注射液50mg／25mL「サワイ」
エピルビシン塩酸塩注射用10mg「サワイ」
エピルビシン塩酸塩注射用50mg「サワイ」
オキサリプラチン点滴静注液100mg「サワイ」
オキサリプラチン点滴静注液200mg「サワイ」
オザグレルNa点滴静注80mgバッグ「テルモ」
キドニーシンチキット
グラニセトロン点滴静注液3mgバッグ「明治」
グラン注射液150
サブパック血液過用補充液―Bi
シチコリン25％2mL注射液
シチコリンH注500mgシリンジ「NP」
シチコリン注100mg／2mL「NP」
シベレスタットNa点滴静注用100mg「VTRS」
ジェムザール注射用1g
ジェムザール注射用200mg
セフォペラゾンナトリウム・スルバクタムナトリウム1g静注用
セフォペラゾンナトリウム・スルバクタムナトリウム500mg静注用
セルシン注射液10mg
セルシン注射液5mg
ダイホルモン・デポー注
ダルベポエチン　アルファBS注射液10μgシリンジ「MYL」
ダルベポエチン　アルファBS注射液120μgシリンジ「MYL」
ダルベポエチン　アルファBS注射液15μgシリンジ「MYL」
ダルベポエチン　アルファBS注射液180μgシリンジ「MYL」
ダルベポエチン　アルファBS注射液20μgシリンジ「MYL」
ダルベポエチン　アルファBS注射液30μgシリンジ「MYL」
ダルベポエチン　アルファBS注射液40μgシリンジ「MYL」
ダルベポエチン　アルファBS注射液5μgシリンジ「MYL」
ダルベポエチン　アルファBS注射液60μgシリンジ「MYL」
テイコプラニン点滴静注用400mg「F」
テイコプラニン点滴静注用400mg「NP」
テクネDMSAキット
トリフリード輸液
ドセタキセル点滴静注液20mg／1mL「サワイ」
ドセタキセル点滴静注液80mg／4mL「サワイ」
ドセタキセル点滴静注用20mg「サワイ」
ドセタキセル点滴静注用80mg「サワイ」
ニソリM注
ハルトマン―G3号輸液
バイクロット配合静注用
パクリタキセル100mg16.7mL注射液
パクリタキセル注射液100mg「サワイ」
パクリタキセル注射液150mg「サワイ」
パクリタキセル注射液30mg「サワイ」
パクリタキセル点滴静注液30mg／5mL「ホスピーラ」
ヒカリレバン注
ヒシファーゲン配合静注シリンジ20mL
ヒシファーゲン配合静注シリンジ40mL
ヒューマトロープ注射用12mg
ヒューマトロープ注射用6mg
フラグミン静注5000単位／5mL
ブドウ糖注20％シリンジ「NP」
プロイメンド点滴静注用150mg
ペラニンデポー筋注5mg
ペロール注
ペンライブ注
マルタミン注射用
ミッドペリック135腹膜透析液
ミッドペリック250腹膜透析液
ミッドペリックL135腹膜透析液
ミッドペリックL250腹膜透析液
ミルリノン注射液22.5mg「F」
メコバラミン注500μgシリンジ「NP」
レパーサ皮下注420mgオートミニドーザー
塩化アンモニウム補正液5mEq／mL
塩化ナトリウム注10％シリンジ「テルモ」
強力ネオミノファーゲンシー静注5mL
炭酸水素ナトリウム静注7％「NP」
