区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
注射薬,2190406G1104,アルプロスタジル,５μｇ１ｍＬ１筒,局,,,アルプロスタジル注５μｇシリンジ「ＴＷ」,東和薬品,後発品,,,845,,
注射薬,2190406G1112,アルプロスタジル,５μｇ１ｍＬ１筒,局,,,アルプロスタジル注５μｇシリンジ「日医工」,日医工,後発品,,,845,,
注射薬,2190406G2038,アルプロスタジル,１０μｇ２ｍＬ１筒,局,,,パルクス注ディスポ１０μｇ,大正製薬,,先発品,○,1482,,
注射薬,2190406G2046,アルプロスタジル,１０μｇ２ｍＬ１筒,局,,,リプルキット注１０μｇ,田辺ファーマ,,先発品,○,1482,,
注射薬,2190406G2062,アルプロスタジル,１０μｇ２ｍＬ１筒,局,,,アルプロスタジル注１０μｇシリンジ「サワイ」,沢井製薬,後発品,,,988,,
注射薬,2190406G2127,アルプロスタジル,１０μｇ２ｍＬ１筒,局,,,アルプロスタジル注１０μｇシリンジ「ＴＷ」,東和薬品,後発品,,,988,,
注射薬,2190406G2135,アルプロスタジル,１０μｇ２ｍＬ１筒,局,,,アルプロスタジル注１０μｇシリンジ「日医工」,日医工,後発品,,,988,,
注射薬,2190408A1089,アルガトロバン水和物,１０ｍｇ２０ｍＬ１管,,,,アルガトロバン注射液１０ｍｇ「サワイ」,沢井製薬,後発品,,,685,,
注射薬,2190408A2026,アルガトロバン水和物,１０ｍｇ２ｍＬ１管,,,,スロンノンＨＩ注１０ｍｇ／２ｍＬ,アルフレッサファーマ,,先発品,○,1284,,
注射薬,2190408A2034,アルガトロバン水和物,１０ｍｇ２ｍＬ１管,,,,ノバスタンＨＩ注１０ｍｇ／２ｍＬ,田辺ファーマ,,先発品,○,1205,,
注射薬,2190408A2042,アルガトロバン水和物,１０ｍｇ２ｍＬ１管,,,,アルガトロバンＨＩ注１０ｍｇ／２ｍＬ「フソー」,シオノケミカル,後発品,,,1201,,
注射薬,2190411F1037,インドメタシンナトリウム水和物,１ｍｇ１瓶,,,,インダシン静注用１ｍｇ,ノーベルファーマ,,先発品,,6554,,
注射薬,2190413F1028,エポプロステノールナトリウム,０．５ｍｇ１瓶（溶解液付）,,,,静注用フローラン０．５ｍｇ,グラクソ・スミスクライン,,先発品,,11247,,
注射薬,2190413F2024,エポプロステノールナトリウム,０．５ｍｇ１瓶,,,,静注用フローラン０．５ｍｇ,グラクソ・スミスクライン,,先発品,○,6194,,
注射薬,2190413F2075,エポプロステノールナトリウム,０．５ｍｇ１瓶,,,,エポプロステノール静注用０．５ｍｇ「ヤンセン」,ヤンセンファーマ,後発品,,,3566,,
注射薬,2190413F3020,エポプロステノールナトリウム,１．５ｍｇ１瓶,,,,静注用フローラン１．５ｍｇ,グラクソ・スミスクライン,,先発品,○,12123,,
注射薬,2190413F3071,エポプロステノールナトリウム,１．５ｍｇ１瓶,,,,エポプロステノール静注用１．５ｍｇ「ヤンセン」,ヤンセンファーマ,後発品,,,6340,,
注射薬,2190413F4027,エポプロステノールナトリウム,１．５ｍｇ１瓶（溶解液付）,,,,静注用フローラン１．５ｍｇ,グラクソ・スミスクライン,,先発品,,19309,,
注射薬,2190414A1033,ファスジル塩酸塩水和物,３０．８ｍｇ２ｍＬ１管,,,,エリル点滴静注液３０ｍｇ,旭化成セラピューティクス,,先発品,○,1693,,
注射薬,2190414A1041,ファスジル塩酸塩水和物,３０．８ｍｇ２ｍＬ１管,,,,ファスジル塩酸塩点滴静注液３０ｍｇ「ＫＣＣ」,ネオクリティケア製薬,後発品,,,703,,
注射薬,2190415A1020,エポプロステノールナトリウム専用溶解液,５０ｍＬ１瓶,,,,静注用フローラン専用溶解液,グラクソ・スミスクライン,,先発品,,1117,,
注射薬,2190416A1024,トレプロスチニル,２０ｍｇ２０ｍＬ１瓶,,,,トレプロスト注射液２０ｍｇ,持田製薬,,先発品,,137132,,
注射薬,2190416A2020,トレプロスチニル,５０ｍｇ２０ｍＬ１瓶,,,,トレプロスト注射液５０ｍｇ,持田製薬,,先発品,,275996,,
注射薬,2190416A3027,トレプロスチニル,１００ｍｇ２０ｍＬ１瓶,,,,トレプロスト注射液１００ｍｇ,持田製薬,,先発品,,376170,,
注射薬,2190416A4023,トレプロスチニル,２００ｍｇ２０ｍＬ１瓶,,,,トレプロスト注射液２００ｍｇ,持田製薬,,先発品,,595844,,
注射薬,2190417A1029,イブプロフェン　Ｌ－リシン,２０ｍｇ２ｍＬ１瓶,,,,イブリーフ静注２０ｍｇ,レコルダティ・レア・ディジーズ・ジャパン,,先発品,,13235,,
注射薬,2190418A1023,クラゾセンタンナトリウム,１５０ｍｇ６ｍＬ１瓶,,,,ピヴラッツ点滴静注液１５０ｍｇ,ネクセラファーマジャパン,,先発品,,80596,,
注射薬,2190419D1024,ソタテルセプト（遺伝子組換え）,４５ｍｇ１瓶,,,,エアウィン皮下注用４５ｍｇ,ＭＳＤ,,先発品,,1082630,,
注射薬,2190419D2020,ソタテルセプト（遺伝子組換え）,６０ｍｇ１瓶,,,,エアウィン皮下注用６０ｍｇ,ＭＳＤ,,先発品,,1441677,,
注射薬,2190501A3100,濃グリセリン・果糖,５００ｍＬ１瓶,,,,グリセリン・果糖配合点滴静注「ＨＫ」,光製薬,★,,,706,,
注射薬,2190501A4084,濃グリセリン・果糖,２００ｍＬ１袋,,,,グリセオール注,太陽ファルマ,,先発品,○,302,,
注射薬,2190501A4106,濃グリセリン・果糖,２００ｍＬ１袋,,,,グリセリン・果糖配合点滴静注「ＨＫ」,光製薬,★,,,304,,
注射薬,2190501A4114,濃グリセリン・果糖,２００ｍＬ１袋,,,,グリセレブ配合点滴静注,テルモ,後発品,,,285,,
注射薬,2190501A4122,濃グリセリン・果糖,２００ｍＬ１袋,,,,ヒシセオール配合点滴静注,ニプロ,★,,,306,,
注射薬,2190501A5064,濃グリセリン・果糖,５００ｍＬ１袋,,,,グリセオール注,太陽ファルマ,,先発品,○,706,R9.3.31まで,
注射薬,2190501A5080,濃グリセリン・果糖,５００ｍＬ１袋,,,,グリセレブ配合点滴静注,テルモ,後発品,,,419,,
注射薬,2190501A5099,濃グリセリン・果糖,５００ｍＬ１袋,,,,ヒシセオール配合点滴静注,ニプロ,後発品,,,591,,
注射薬,2190501A6087,濃グリセリン・果糖,３００ｍＬ１袋,,,,グリセオール注,太陽ファルマ,,先発品,○,373,,
注射薬,2190501A6109,濃グリセリン・果糖,３００ｍＬ１袋,,,,グリセリン・果糖配合点滴静注「ＨＫ」,光製薬,後発品,,,274,,
注射薬,2190501A6117,濃グリセリン・果糖,３００ｍＬ１袋,,,,グリセレブ配合点滴静注,テルモ,★,,,373,,
注射薬,2190501A6125,濃グリセリン・果糖,３００ｍＬ１袋,,,,ヒシセオール配合点滴静注,ニプロ,★,,,373,,
注射薬,2213400A1011,ジモルホラミン,１．５％２ｍＬ１管,局,,,ジモルホラミン注射液,,,,,143,,
注射薬,2213400A2018,ジモルホラミン,１．５％３ｍＬ１管,局,,,ジモルホラミン注射液,,,,,143,,
注射薬,2213401A1032,レバロルファン酒石酸塩,０．１％１ｍＬ１管,局,,,ロルファン注射液１ｍｇ,Ｔ’ｓ製薬,,,,354,,
注射薬,2219400A1031,ドキサプラム塩酸塩水和物,２０ｍｇ１ｍＬバイアル,,,,ドプラム注射液４００ｍｇ,キッセイ薬品工業,,先発品,,166,,
注射薬,2219402A1049,ナロキソン塩酸塩,０．２ｍｇ１ｍＬ１管,,,,ナロキソン塩酸塩静注０．２ｍｇ「ＡＦＰ」,アルフレッサファーマ,,先発品,,878,,
注射薬,2219403A1027,フルマゼニル,０．５ｍｇ５ｍＬ１管,,,,アネキセート注射液０．５ｍｇ,サンドファーマ,,先発品,○,1492,,
注射薬,2219403A1035,フルマゼニル,０．５ｍｇ５ｍＬ１管,,,,フルマゼニル注射液０．５ｍｇ「Ｆ」,富士製薬工業,後発品,,,991,,
注射薬,2219403A1086,フルマゼニル,０．５ｍｇ５ｍＬ１管,,,,フルマゼニル静注液０．５ｍｇ「テバ」,Ｔ’ｓファーマ,後発品,,,1005,,
注射薬,2219403A1094,フルマゼニル,０．５ｍｇ５ｍＬ１管,,,,フルマゼニル注射液０．５ｍｇ「ニプロ」,ニプロ,後発品,,,982,,
注射薬,2219403A1108,フルマゼニル,０．５ｍｇ５ｍＬ１管,,,,フルマゼニル静注液０．５ｍｇ「ＳＷ」,沢井製薬,後発品,,,1005,,
注射薬,2219403G1020,フルマゼニル,０．５ｍｇ５ｍＬ１筒,,,,フルマゼニル静注０．５ｍｇシリンジ「テルモ」,テルモ,後発品,,,1135,,
注射薬,2221400A2010,エフェドリン塩酸塩,４％１ｍＬ１管,局,,,エフェドリン塩酸塩注射液,,,,,104,,
注射薬,2221401A1050,ｄｌ－メチルエフェドリン塩酸塩,４％１ｍＬ１管,,,,メチエフ注４０ｍｇ,ニプロ,,,,91,,
注射薬,2234400A1054,ブロムヘキシン塩酸塩,０．２％２ｍＬ１管,,,,ブロムヘキシン塩酸塩注射液４ｍｇ「タイヨー」,Ｔ’ｓファーマ,後発品,,,63,,
注射薬,2290400D1033,オマリズマブ（遺伝子組換え）,１５０ｍｇ１瓶,,,,ゾレア皮下注用１５０ｍｇ,ノバルティス　ファーマ,,先発品,,21819,,
注射薬,2290400G1021,オマリズマブ（遺伝子組換え）,７５ｍｇ０．５ｍＬ１筒,,,,ゾレア皮下注７５ｍｇシリンジ,ノバルティス　ファーマ,,先発品,,11476,,
注射薬,2290400G2028,オマリズマブ（遺伝子組換え）,１５０ｍｇ１ｍＬ１筒,,,,ゾレア皮下注１５０ｍｇシリンジ,ノバルティス　ファーマ,,先発品,,20822,,
注射薬,2290400G3024,オマリズマブ（遺伝子組換え）,７５ｍｇ０．５ｍＬ１キット,,,,ゾレア皮下注７５ｍｇペン,ノバルティス　ファーマ,,先発品,,11700,,
注射薬,2290400G4020,オマリズマブ（遺伝子組換え）,１５０ｍｇ１ｍＬ１キット,,,,ゾレア皮下注１５０ｍｇペン,ノバルティス　ファーマ,,先発品,,21260,,
注射薬,2290400G5027,オマリズマブ（遺伝子組換え）,３００ｍｇ２ｍＬ１キット,,,,ゾレア皮下注３００ｍｇペン,ノバルティス　ファーマ,,先発品,,39329,,
注射薬,2290401G1026,メポリズマブ（遺伝子組換え）,１００ｍｇ１ｍＬ１筒,,,,ヌーカラ皮下注１００ｍｇシリンジ,グラクソ・スミスクライン,,先発品,,159891,,
注射薬,2290401G2022,メポリズマブ（遺伝子組換え）,１００ｍｇ１ｍＬ１キット,,,,ヌーカラ皮下注１００ｍｇペン,グラクソ・スミスクライン,,先発品,,159891,,
注射薬,2290401G3029,メポリズマブ（遺伝子組換え）,４０ｍｇ０．４ｍＬ１筒,,,,小児用ヌーカラ皮下注４０ｍｇシリンジ,グラクソ・スミスクライン,,先発品,,68964,,
注射薬,2290402G1020,ベンラリズマブ（遺伝子組換え）,３０ｍｇ１ｍＬ１筒,,,,ファセンラ皮下注３０ｍｇシリンジ,アストラゼネカ,,先発品,,335309,,
注射薬,2290402G2027,ベンラリズマブ（遺伝子組換え）,１０ｍｇ０．５ｍＬ１筒,,,,ファセンラ皮下注１０ｍｇシリンジ,アストラゼネカ,,先発品,,134121,,
注射薬,2290402G3023,ベンラリズマブ（遺伝子組換え）,３０ｍｇ１ｍＬ１キット,,,,ファセンラ皮下注３０ｍｇペン,アストラゼネカ,,先発品,,351731,,
注射薬,2290403G1025,テゼペルマブ（遺伝子組換え）,２１０ｍｇ１．９１ｍＬ１筒,,,,テゼスパイア皮下注２１０ｍｇシリンジ,アストラゼネカ,,先発品,,169058,,
注射薬,2290403G2021,テゼペルマブ（遺伝子組換え）,２１０ｍｇ１．９１ｍＬ１キット,,,,テゼスパイア皮下注２１０ｍｇペン,アストラゼネカ,,先発品,,170987,,
注射薬,2290404G1020,デペモキマブ（遺伝子組換え）,１００ｍｇ１ｍＬ１筒,,,,エキシデンサー皮下注１００ｍｇシリンジ,グラクソ・スミスクライン,,先発品,,1143284,,R8.4.15収載
注射薬,2290404G2026,デペモキマブ（遺伝子組換え）,１００ｍｇ１ｍＬ１キット,,,,エキシデンサー皮下注１００ｍｇペン,グラクソ・スミスクライン,,先発品,,1143284,,R8.4.15収載
注射薬,2314400A2045,ベルベリン硫酸塩水和物,０．１％２ｍＬ１管,,,,ベルベリン硫酸塩注２ｍｇ「日新」,日新製薬（山形）,,,,63,,
注射薬,2325400A1077,シメチジン,１０％２ｍＬ１管,,,,タガメット注射液２００ｍｇ,住友ファーマ,,先発品,○,78,,
注射薬,2325400A1239,シメチジン,１０％２ｍＬ１管,,,,シメチジン注２００ｍｇ「ＮＰ」,ニプロ,後発品,,,72,,
注射薬,2325400A1263,シメチジン,１０％２ｍＬ１管,,,,シメチジン注射液２００ｍｇ「ＳＷ」,沢井製薬,後発品,,,63,,
注射薬,2325401A1020,ファモチジン,１０ｍｇ１ｍＬ１管,局,,,ガスター注射液１０ｍｇ,ＬＴＬファーマ,,先発品,○,143,,
注射薬,2325401A1039,ファモチジン,１０ｍｇ１ｍＬ１管,局,,,ファモチジン注射液１０ｍｇ「トーワ」,東和薬品,後発品,,,104,,
注射薬,2325401A2027,ファモチジン,２０ｍｇ２ｍＬ１管,局,,,ガスター注射液２０ｍｇ,ＬＴＬファーマ,,先発品,○,140,,
注射薬,2325401A2035,ファモチジン,２０ｍｇ２ｍＬ１管,局,,,ファモチジン注射液２０ｍｇ「トーワ」,東和薬品,後発品,,,104,,
注射薬,2325401A3015,ファモチジン,２０ｍｇ２０ｍＬ１管,,,,ファモチジン２０ｍｇ２０ｍＬ注射液,,後発品,,,104,,
注射薬,2325401A4011,ファモチジン,１０ｍｇ１０ｍＬ１管,,,,ファモチジン１０ｍｇ１０ｍＬ注射液,,後発品,,,104,,
注射薬,2325401D1019,ファモチジン,２０ｍｇ１管,,,,ファモチジン２０ｍｇ注射用,,後発品,,,104,,
注射薬,2325401D1108,ファモチジン,２０ｍｇ１管,局,,,ファモチジン注射用２０ｍｇ「タカタ」,高田製薬,後発品,,,146,,
注射薬,2325401D2090,ファモチジン,１０ｍｇ１管,局,,,ファモチジン注射用１０ｍｇ「タカタ」,高田製薬,後発品,,,146,,
注射薬,2325401D2104,ファモチジン,１０ｍｇ１管,局,,,ファモチジン注射用１０ｍｇ「オーハラ」,大原薬品工業,後発品,,,134,,
注射薬,2325401D2112,ファモチジン,１０ｍｇ１管,局,,,ファモチジン注射用１０ｍｇ「テバ」,Ｔ’ｓファーマ,後発品,,,104,,
注射薬,2325403D2022,ロキサチジン酢酸エステル塩酸塩,７５ｍｇ１瓶,局,,,アルタット静注用７５ｍｇ,あすか製薬,,先発品,,162,R9.3.31まで,
注射薬,2329401A1100,スルピリド,５０ｍｇ１管,,,,ドグマチール筋注５０ｍｇ,日医工,,先発品,,89,,
注射薬,2329403D1017,オメプラゾールナトリウム,２０ｍｇ１瓶,,,,オメプラゾールナトリウム２０ｍｇ注射用,,,,,284,R9.3.31まで,
注射薬,2329403D1041,オメプラゾールナトリウム,２０ｍｇ１瓶,,,,オメプラゾール注用２０ｍｇ「ＮＰ」,ニプロ,,,,299,R9.3.31まで,
注射薬,2329403D1068,オメプラゾールナトリウム,２０ｍｇ１瓶,,,,オメプラゾール注射用２０ｍｇ「日医工」,日医工,,,,339,,
注射薬,2329404F1020,ランソプラゾール,３０ｍｇ１瓶,,,,タケプロン静注用３０ｍｇ,Ｔ’ｓ製薬,,先発品,,430,,
注射薬,2362400A2018,デヒドロコール酸,１０％１０ｍＬ１管,局,,,デヒドロコール酸注射液,,,,,484,,
注射薬,2362400A2026,デヒドロコール酸,１０％１０ｍＬ１管,局,,,１０％デヒドロコール酸注「ニッシン」,日新製薬（山形）,,,,484,,
注射薬,2391400A3024,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,,,,カイトリル注１ｍｇ,太陽ファルマ,,先発品,○,521,,
注射薬,2391400A3075,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,,,,グラニセトロン静注液１ｍｇ「アイロム」,ネオクリティケア製薬,後発品,,,354,R9.3.31まで,
注射薬,2391400A3130,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,,,,グラニセトロン静注液１ｍｇ「サワイ」,メディサ新薬,★,,,584,,
注射薬,2391400A3148,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,,,,グラニセトロン静注液１ｍｇ「トーワ」,東和薬品,★,,,591,,
注射薬,2391400A3164,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,,,,グラニセトロン静注液１ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,478,,
注射薬,2391400A3172,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,,,,グラニセトロン静注液１ｍｇ「Ｆ」,富士製薬工業,★,,,576,R9.3.31まで,
注射薬,2391400A4020,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,,,,カイトリル注３ｍｇ,太陽ファルマ,,先発品,○,1250,,
注射薬,2391400A4055,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,,,,グラニセトロン静注液３ｍｇ「Ｆ」,富士製薬工業,後発品,,,1219,R9.3.31まで,
注射薬,2391400A4080,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,,,,グラニセトロン静注液３ｍｇ「アイロム」,ネオクリティケア製薬,後発品,,,652,R9.3.31まで,
注射薬,2391400A4110,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,,,,グラニセトロン静注液３ｍｇ「トーワ」,東和薬品,★,,,1306,,
注射薬,2391400A4152,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,,,,グラニセトロン静注液３ｍｇ「サワイ」,メディサ新薬,後発品,,,660,,
注射薬,2391400A4179,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,,,,グラニセトロン静注液３ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,1122,,
注射薬,2391400G1016,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,,,,グラニセトロン塩酸塩３ｍｇ１００ｍＬキット,,,,,711,R9.3.31まで,
注射薬,2391400G1130,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,,,,カイトリル点滴静注バッグ３ｍｇ／１００ｍＬ,太陽ファルマ,,先発品,,1259,,
注射薬,2391400G1156,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「ＨＫ」,光製薬,,,,1265,,
注射薬,2391400G1210,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「ＮＩＧ」,日医工岐阜工場,,,,1265,,
注射薬,2391400G1229,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「タカタ」,高田製薬,,,,1259,,
注射薬,2391400G2012,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１筒,,,,グラニセトロン塩酸塩３ｍｇ３ｍＬキット,,,,,1259,,
注射薬,2391400G3019,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１筒,,,,グラニセトロン塩酸塩１ｍｇ１ｍＬキット,,,,,754,,
注射薬,2391400G4015,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,グラニセトロン塩酸塩３ｍｇ５０ｍＬキット,,,,,1259,,
注射薬,2391400G4031,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「ＨＫ」,光製薬,,,,1265,,
注射薬,2391400G4104,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「ＮＩＧ」,日医工岐阜工場,,,,1265,,
注射薬,2391400G5011,グラニセトロン塩酸塩,１ｍｇ５０ｍＬ１袋,,,,グラニセトロン塩酸塩１ｍｇ５０ｍＬキット,,,,,754,R9.3.31まで,
注射薬,2391400G5054,グラニセトロン塩酸塩,１ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ１ｍｇ／５０ｍＬ「ＨＫ」,光製薬,,,,809,,
注射薬,2391400G5070,グラニセトロン塩酸塩,１ｍｇ５０ｍＬ１袋,,,,グラニセトロン点滴静注バッグ１ｍｇ／５０ｍＬ「ＮＩＧ」,日医工岐阜工場,,,,809,,
注射薬,2391401A1050,オンダンセトロン塩酸塩水和物,４ｍｇ２ｍＬ１管,,,,オンダンセトロン注射液４ｍｇ「サンド」,サンド,後発品,,,1276,,
注射薬,2391401G1045,オンダンセトロン塩酸塩水和物,４ｍｇ２ｍＬ１筒,,,,オンダンセトロン注４ｍｇシリンジ「マルイシ」,丸石製薬,後発品,,,2981,,
注射薬,2391403A1025,ラモセトロン塩酸塩,０．３ｍｇ２ｍＬ１管,,,,ナゼア注射液０．３ｍｇ,ＬＴＬファーマ,,先発品,,2017,,
注射薬,2391404A1020,パロノセトロン塩酸塩,０．７５ｍｇ５ｍＬ１瓶,,,,アロキシ静注０．７５ｍｇ,大鵬薬品工業,,先発品,○,7411,,
注射薬,2391404A1038,パロノセトロン塩酸塩,０．７５ｍｇ５ｍＬ１瓶,,,,パロノセトロン静注０．７５ｍｇ／５ｍＬ「タイホウ」,岡山大鵬薬品,後発品,,,4129,,
注射薬,2391404A2026,パロノセトロン塩酸塩,０．７５ｍｇ２ｍＬ１瓶,,,,パロノセトロン静注０．７５ｍｇ／２ｍＬ「日医工」,日医工,後発品,,,4337,,
注射薬,2391404G1022,パロノセトロン塩酸塩,０．７５ｍｇ５０ｍＬ１袋,,,,アロキシ点滴静注バッグ０．７５ｍｇ,大鵬薬品工業,,先発品,○,6826,,
注射薬,2391404G1030,パロノセトロン塩酸塩,０．７５ｍｇ５０ｍＬ１袋,,,,パロノセトロン点滴静注バッグ０．７５ｍｇ／５０ｍＬ「タイホウ」,岡山大鵬薬品,後発品,,,4363,,
注射薬,2391404G2029,パロノセトロン塩酸塩,０．７５ｍｇ２ｍＬ１筒,,,,パロノセトロン静注０．７５ｍｇ／２ｍＬシリンジ「ＮＰ」,シオノギファーマ,後発品,,,2836,,
注射薬,2391404G2037,パロノセトロン塩酸塩,０．７５ｍｇ２ｍＬ１筒,,,,パロノセトロン静注０．７５ｍｇ／２ｍＬシリンジ「トーワ」,東和薬品,後発品,,,4297,,
注射薬,2391405D1039,ホスアプレピタントメグルミン,１５０ｍｇ１瓶,,,,ホスアプレピタント点滴静注用１５０ｍｇ「ＮＫ」,日本化薬,後発品,,,4924,,
注射薬,2391406A1029,ホスネツピタント塩化物塩酸塩,２３５ｍｇ１０ｍＬ１瓶,,,,アロカリス点滴静注２３５ｍｇ,大鵬薬品工業,,先発品,,11275,,
注射薬,2399401A1016,メトクロプラミド,０．５％２ｍＬ１管,,,,塩酸メトクロプラミド０．５％２ｍＬ注射液,,後発品,,,63,,
注射薬,2399401A1083,メトクロプラミド,０．５％２ｍＬ１管,,,,プリンペラン注射液１０ｍｇ,日医工,,,,68,,
注射薬,2399402F1026,インフリキシマブ（遺伝子組換え）,１００ｍｇ１瓶,,,,レミケード点滴静注用１００,田辺ファーマ,,先発品,○,35981,,
注射薬,2399403F1039,インフリキシマブ（遺伝子組換え）［インフリキシマブ後続１］,１００ｍｇ１瓶,,,,インフリキシマブＢＳ点滴静注用１００ｍｇ「ＮＫ」,セルトリオン・ヘルスケア・ジャパン,後発品,,,14500,,
注射薬,2399404F1025,インフリキシマブ（遺伝子組換え）［インフリキシマブ後続２］,１００ｍｇ１瓶,,,,インフリキシマブＢＳ点滴静注用１００ｍｇ「あゆみ」,あゆみ製薬,後発品,,,16912,R9.3.31まで,
注射薬,2399404F1033,インフリキシマブ（遺伝子組換え）［インフリキシマブ後続２］,１００ｍｇ１瓶,,,,インフリキシマブＢＳ点滴静注用１００ｍｇ「日医工」,日医工,後発品,,,12662,R9.3.31まで,
注射薬,2399405F1020,ベドリズマブ（遺伝子組換え）,３００ｍｇ１瓶,,,,エンタイビオ点滴静注用３００ｍｇ,武田薬品工業,,先発品,,279573,,
注射薬,2399405G1025,ベドリズマブ（遺伝子組換え）,１０８ｍｇ０．６８ｍＬ１筒,,,,エンタイビオ皮下注１０８ｍｇシリンジ,武田薬品工業,,先発品,,69888,,
注射薬,2399405G2021,ベドリズマブ（遺伝子組換え）,１０８ｍｇ０．６８ｍＬ１キット,,,,エンタイビオ皮下注１０８ｍｇペン,武田薬品工業,,先発品,,69888,,
注射薬,2399406F1024,インフリキシマブ（遺伝子組換え）［インフリキシマブ後続３］,１００ｍｇ１瓶,,,,インフリキシマブＢＳ点滴静注用１００ｍｇ「ファイザー」,ファイザー,後発品,,,13860,,
注射薬,2399407A1021,ミリキズマブ（遺伝子組換え）,３００ｍｇ１５ｍＬ１瓶,,,,オンボー点滴静注３００ｍｇ,日本イーライリリー,,先発品,,187532,,
注射薬,2399407G1024,ミリキズマブ（遺伝子組換え）,１００ｍｇ１ｍＬ１筒,,,,オンボー皮下注１００ｍｇシリンジ,日本イーライリリー,,先発品,,122509,,
注射薬,2399407G2020,ミリキズマブ（遺伝子組換え）,１００ｍｇ１ｍＬ１キット,,,,オンボー皮下注１００ｍｇオートインジェクター,日本イーライリリー,,先発品,,123561,,
注射薬,2399407G3027,ミリキズマブ（遺伝子組換え）,２００ｍｇ２ｍＬ１筒,,,,オンボー皮下注２００ｍｇシリンジ,日本イーライリリー,,先発品,,239795,,
注射薬,2399407G4023,ミリキズマブ（遺伝子組換え）,２００ｍｇ２ｍＬ１キット,,,,オンボー皮下注２００ｍｇオートインジェクター,日本イーライリリー,,先発品,,241157,,
注射薬,2411400D2029,テトラコサクチド酢酸塩,０．２５ｍｇ１瓶（溶解液付）,,,,コートロシン注射用０．２５ｍｇ,アルフレッサファーマ,,先発品,,2963,,
注射薬,2411401A3023,酢酸テトラコサクチド亜鉛,０．５ｍｇ１瓶,,,,コートロシンＺ筋注０．５ｍｇ,アルフレッサファーマ,,先発品,,6737,,
注射薬,2412402A3033,ソマトロピン（遺伝子組換え）,５ｍｇ１筒,,,,ソマトロピンＢＳ皮下注５ｍｇ「サンド」シュアパル,サンド,後発品,,,11772,,
注射薬,2412402A4030,ソマトロピン（遺伝子組換え）,１０ｍｇ１筒,,,,ソマトロピンＢＳ皮下注１０ｍｇ「サンド」シュアパル,サンド,後発品,,,22973,,
注射薬,2412402A5036,ソマトロピン（遺伝子組換え）,１２ｍｇ１筒,,,,グロウジェクト皮下注１２ｍｇ,ＪＣＲファーマ,,先発品,,61669,,
注射薬,2412402A6024,ソマトロピン（遺伝子組換え）,６ｍｇ１筒,,,,グロウジェクト皮下注６ｍｇ,ＪＣＲファーマ,,先発品,,30164,,
注射薬,2412402D9038,ソマトロピン（遺伝子組換え）,５．３３ｍｇ１筒（溶解液付）,,,,ジェノトロピンＴＣ注用５．３ｍｇ,ファイザー,,先発品,,13101,,
注射薬,2412402L4057,ソマトロピン（遺伝子組換え）,１２ｍｇ１筒（溶解液付）,,,,ジェノトロピンＴＣ注用１２ｍｇ,ファイザー,,先発品,,29742,,
注射薬,2412402P4024,ソマトロピン（遺伝子組換え）,５．３３ｍｇ１キット,,,,ジェノトロピンゴークイック注用５．３ｍｇ,ファイザー,,先発品,,21455,,
注射薬,2412402P5020,ソマトロピン（遺伝子組換え）,１２ｍｇ１キット,,,,ジェノトロピンゴークイック注用１２ｍｇ,ファイザー,,先発品,,52414,,
