販売名,成分名,規格,判定,判定根拠,レビュー理由
１％ディプリバン注－キット,プロポフォール,２００ｍｇ２０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
１％ディプリバン注－キット,プロポフォール,５００ｍｇ５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アネレム静注用５０ｍｇ,レミマゾラムベシル酸塩,５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アネレム静注用２０ｍｇ,レミマゾラムベシル酸塩,２０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
サイレース静注２ｍｇ,フルニトラゼパム,２ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドルミカム注射液１０ｍｇ,ミダゾラム,１０ｍｇ２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ミダゾラム注１０ｍｇ「サンド」,ミダゾラム,１０ｍｇ２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ミダゾラム注射液１０ｍｇ「ＮＩＧ」,ミダゾラム,１０ｍｇ２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ジアゼパム注射液５ｍｇ「ＮＩＧ」,ジアゼパム,５ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ホリゾン注射液１０ｍｇ,ジアゼパム,１０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ジアゼパム注射液１０ｍｇ「ＮＩＧ」,ジアゼパム,１０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
フェノバール注射液１００ｍｇ,フェノバルビタール,１０％１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プレセデックス静注液２００μｇ「ファイザー」,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
デクスメデトミジン静注液２００μｇ「サンド」,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
デクスメデトミジン静注液２００μｇ「ニプロ」,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プレセデックス静注液２００μｇ／５０ｍＬシリンジ「ファイザー」,デクスメデトミジン塩酸塩,２００μｇ５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
デクスメデトミジン静注液２００μｇ／５０ｍＬシリンジ「ニプロ」,デクスメデトミジン塩酸塩,２００μｇ５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アレビアチン注２５０ｍｇ,フェニトインナトリウム,５％５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ホストイン静注７５０ｍｇ,ホスフェニトインナトリウム水和物,７５０ｍｇ１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ノーベルバール静注用２５０ｍｇ,フェノバルビタールナトリウム,２５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ミダフレッサ静注０．１％,ミダゾラム,１０ｍｇ１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
