販売名,成分名,規格,YJコード,メーカー,先発後発,局方,薬価,院外処方可否,判定根拠,廃止経過措置,廃止区分,備考
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,１０，０００単位１管,2413402X5010,,,局,2712,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,,,
注射用ＨＣＧ１０，０００単位「Ｆ」,ヒト絨毛性性腺刺激ホルモン,１０，０００単位１管,2413402X5052,富士製薬工業,,局,7467,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,,,
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,１，０００単位１瓶,2413402X6016,,,局,2670,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,,,
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,３，０００単位１瓶,2413402X7012,,,局,2769,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,,,
注射用ヒト絨毛性性腺刺激ホルモン,ヒト絨毛性性腺刺激ホルモン,５，０００単位１瓶,2413402X8019,,,局,3522,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,,,
フォリルモンＰ注７５,精製下垂体性性腺刺激ホルモン,７５単位１管（溶解液付）,2413403A1040,富士製薬工業,,,1476,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,,,
フォリルモンＰ注１５０,精製下垂体性性腺刺激ホルモン,１５０単位１管（溶解液付）,2413403D1020,富士製薬工業,,,2441,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,,,
ｕＦＳＨ注用７５単位「あすか」,精製下垂体性性腺刺激ホルモン,７５単位１瓶（溶解液付）,2413403D2027,あすか製薬,,,1476,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,,,
ｕＦＳＨ注用１５０単位「あすか」,精製下垂体性性腺刺激ホルモン,１５０単位１瓶（溶解液付）,2413403D3023,あすか製薬,,,2441,○,告示第十第一号 [性腺刺激ホルモン製剤] マッチ規則:substring,,,
ゴナールエフ皮下注ペン４５０,ホリトロピンアルファ（遺伝子組換え）,４５０国際単位０．７５ｍＬ１筒,2413404G1021,メルクバイオファーマ,先発品,,15718,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゴナールエフ皮下注ペン９００,ホリトロピンアルファ（遺伝子組換え）,９００国際単位１．５ｍＬ１筒,2413404G2028,メルクバイオファーマ,先発品,,28364,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゴナールエフ皮下注ペン３００,ホリトロピンアルファ（遺伝子組換え）,３００国際単位０．５ｍＬ１筒,2413404G3024,メルクバイオファーマ,先発品,,11399,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゴナールエフ皮下注ペン１５０,ホリトロピンアルファ（遺伝子組換え）,１５０国際単位０．２５ｍＬ１筒,2413404G4020,メルクバイオファーマ,先発品,,6266,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
フォリスチム注３００ＩＵカートリッジ,フォリトロピン　ベータ（遺伝子組換え）,３００国際単位０．３６ｍＬ１筒,2413405G4025,オルガノン,先発品,,11381,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
フォリスチム注６００ＩＵカートリッジ,フォリトロピン　ベータ（遺伝子組換え）,６００国際単位０．７２ｍＬ１筒,2413405G5021,オルガノン,先発品,,20936,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
フォリスチム注９００ＩＵカートリッジ,フォリトロピン　ベータ（遺伝子組換え）,９００国際単位１．０８ｍＬ１筒,2413405G6028,オルガノン,先発品,,29923,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
オビドレル皮下注シリンジ２５０μｇ,コリオゴナドトロピン　アルファ（遺伝子組換え）,２５０μｇ０．５ｍＬ１筒,2413406G1020,メルクバイオファーマ,先発品,,2890,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レコベル皮下注１２μｇペン,ホリトロピンデルタ（遺伝子組換え）,１２μｇ０．３６ｍＬ１キット,2413407G1025,フェリング・ファーマ,先発品,,10378,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レコベル皮下注３６μｇペン,ホリトロピンデルタ（遺伝子組換え）,３６μｇ１．０８ｍＬ１キット,2413407G2021,フェリング・ファーマ,先発品,,25657,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レコベル皮下注７２μｇペン,ホリトロピンデルタ（遺伝子組換え）,７２μｇ２．１６ｍＬ１キット,2413407G3028,フェリング・ファーマ,先発品,,44467,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
オキシトシン注射液,オキシトシン,１単位１管,2414400A1010,,,局,130,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
オキシトシン注射液,オキシトシン,５単位１管,2414400A2016,,,局,114,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アトニン－Ｏ注５単位,オキシトシン,５単位１管,2414400A2075,あすか製薬,,局,164,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
バソプレシン注射液,バソプレシン,２０単位１管,2414402A1019,,,局,509,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
デスモプレシン静注４μｇ「フェリング」,デスモプレシン酢酸塩水和物,４μｇ１管,2419400A1032,フェリング・ファーマ,先発品,,1335,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
チラーヂンＳ静注液２００μｇ,レボチロキシンナトリウム水和物,２００μｇ１ｍＬ１管,2431400A1029,あすか製薬,先発品,,20192,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
メルカゾール注１０ｍｇ,チアマゾール,１０ｍｇ１管,2432400A1034,あすか製薬,,,289,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
フォルテオ皮下注キット６００μｇ,テリパラチド（遺伝子組換え）,６００μｇ１キット,2439400G1020,日本イーライリリー,先発品,,20071,○,告示第十第一号 [テリパラチド製剤] マッチ規則:substring,,,
テリボン皮下注用５６．５μｇ,テリパラチド酢酸塩,５６．５μｇ１瓶,2439401D1028,旭化成セラピューティクス,先発品,,10054,○,告示第十第一号 [テリパラチド製剤] マッチ規則:substring,,,
テリボン皮下注用５６．５μｇ,テリパラチド酢酸塩,５６．５μｇ１瓶（溶解液付）,2439401D2024,旭化成セラピューティクス,先発品,,10624,○,告示第十第一号 [テリパラチド製剤] マッチ規則:substring,,,
テリボン皮下注２８．２μｇオートインジェクター,テリパラチド酢酸塩,２８．２μｇ１キット,2439401G1024,旭化成セラピューティクス,先発品,,5995,○,告示第十第一号 [テリパラチド製剤] マッチ規則:substring,,,
テリパラチドＢＳ皮下注キット６００μｇ「モチダ」,テリパラチド（遺伝子組換え）［テリパラチド後続１］,６００μｇ１キット,2439402G1029,持田製薬,,,14924,○,告示第十第一号 [テリパラチド製剤] マッチ規則:substring,,,
オスタバロ皮下注カートリッジ１．５ｍｇ,アバロパラチド酢酸塩,１．５ｍｇ０．７５ｍＬ１筒,2439403A1020,帝人ファーマ,先発品,,16005,○,告示第十第一号 [アバロパラチド酢酸塩製剤] マッチ規則:substring,,,
ヨビパス皮下注１６８μｇペン,パロペグテリパラチド,１６８μｇ０．５６ｍＬ１キット,2439404G1028,帝人ファーマ,先発品,,571509,○,告示第十第一号 [パロペグテリパラチド製剤] マッチ規則:substring,,,
ヨビパス皮下注２９４μｇペン,パロペグテリパラチド,２９４μｇ０．９８ｍＬ１キット,2439404G2024,帝人ファーマ,先発品,,584139,○,告示第十第一号 [パロペグテリパラチド製剤] マッチ規則:substring,,,
ヨビパス皮下注４２０μｇペン,パロペグテリパラチド,４２０μｇ１．４ｍＬ１キット,2439404G3020,帝人ファーマ,先発品,,596310,○,告示第十第一号 [パロペグテリパラチド製剤] マッチ規則:substring,,,
メテノロンエナント酸エステル注射液,メテノロンエナント酸エステル,１００ｍｇ１管,2449403A2015,,,局,673,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アドレナリン注射液,アドレナリン,０．１％１ｍＬ１管,2451400A1013,,,局,188,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,,,
ノルアドレナリン注射液,ノルアドレナリン,０．１％１ｍＬ１管,2451401A1018,,,局,104,○,告示第十第一号 [ノルアドレナリン製剤] マッチ規則:substring,,,
アドレナリン注０．１％シリンジ「テルモ」,アドレナリン,０．１％１ｍＬ１筒,2451402G1040,テルモ,,,354,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,,,
エピペン注射液０．１５ｍｇ,アドレナリン,０．１５ｍｇ１筒,2451402G2020,ヴィアトリス製薬,先発品,,9672,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,,,
エピペン注射液０．３ｍｇ,アドレナリン,０．３ｍｇ１筒,2451402G3026,ヴィアトリス製薬,先発品,局,10197,○,告示第十第一号 [アドレナリン製剤] マッチ規則:substring,,,
ソル・コーテフ注射用１００ｍｇ,ヒドロコルチゾンコハク酸エステルナトリウム,１００ｍｇ１瓶（溶解液付）,2452400D1084,ファイザー,,,343,○,告示第十第一号 [ヒドロコルチゾンコハク酸エステルナトリウム製剤] マッチ規則:substring,,,
ソル・コーテフ静注用２５０ｍｇ,ヒドロコルチゾンコハク酸エステルナトリウム,２５０ｍｇ１瓶（溶解液付）,2452400D3052,ファイザー,,,808,○,告示第十第一号 [ヒドロコルチゾンコハク酸エステルナトリウム製剤] マッチ規則:substring,,,
ソル・コーテフ静注用５００ｍｇ,ヒドロコルチゾンコハク酸エステルナトリウム,５００ｍｇ１瓶（溶解液付）,2452400D6060,ファイザー,,,1071,○,告示第十第一号 [ヒドロコルチゾンコハク酸エステルナトリウム製剤] マッチ規則:substring,,,
ヒドロコルチゾンリン酸エステルＮａ静注液１００ｍｇ「ＡＦＰ」,ヒドロコルチゾンリン酸エステルナトリウム,１００ｍｇ２ｍＬ１管,2452402A1095,共創未来ファーマ,,,191,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
水溶性ハイドロコートン注射液１００ｍｇ,ヒドロコルチゾンリン酸エステルナトリウム,１００ｍｇ２ｍＬ１瓶,2452402A2040,日医工,先発品,,495,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
水溶性ハイドロコートン注射液５００ｍｇ,ヒドロコルチゾンリン酸エステルナトリウム,５００ｍｇ１０ｍＬ１瓶,2452402A5090,日医工,先発品,,1782,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ヒドロコルチゾンリン酸エステルＮａ静注液５００ｍｇ「ＡＦＰ」,ヒドロコルチゾンリン酸エステルナトリウム,５００ｍｇ１０ｍＬ１瓶,2452402A5112,共創未来ファーマ,,,715,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ケナコルト－Ａ皮内用関節腔内用水懸注５０ｍｇ／５ｍＬ,トリアムシノロンアセトニド,１０ｍｇ１ｍＬバイアル,2454402A2037,ブリストル・マイヤーズ　スクイブ,,,197,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ケナコルト－Ａ筋注用関節腔内用水懸注４０ｍｇ／１ｍＬ,トリアムシノロンアセトニド,４０ｍｇ１ｍＬ１瓶,2454402A3033,ブリストル・マイヤーズ　スクイブ,,,769,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
リンデロン注２ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,２ｍｇ１管,2454404A1064,シオノギファーマ,,,166,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
リノロサール注射液２ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,２ｍｇ１管,2454404A1080,わかもと製薬,,,63,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
リンデロン注４ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,４ｍｇ１管,2454404A2060,シオノギファーマ,,,268,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
リノロサール注射液４ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,４ｍｇ１管,2454404A2087,わかもと製薬,,,82,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
リンデロン注２０ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,２０ｍｇ１管,2454404A3067,シオノギファーマ,,,1256,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
リノロサール注射液２０ｍｇ（０．４％）,ベタメタゾンリン酸エステルナトリウム,２０ｍｇ１管,2454404A3083,わかもと製薬,,,420,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
リンデロン注２０ｍｇ（２％）,ベタメタゾンリン酸エステルナトリウム,２０ｍｇ１ｍＬ１管,2454404A4039,シオノギファーマ,先発品,,1318,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
リンデロン注１００ｍｇ（２％）,ベタメタゾンリン酸エステルナトリウム,１００ｍｇ５ｍＬ１管,2454404A5035,シオノギファーマ,先発品,,3717,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
デカドロン注射液１．６５ｍｇ,デキサメタゾンリン酸エステルナトリウム,１．６５ｍｇ０．５ｍＬ１管,2454405H1024,サンドファーマ,,,108,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
デキサート注射液１．６５ｍｇ,デキサメタゾンリン酸エステルナトリウム,１．６５ｍｇ０．５ｍＬ１管,2454405H1032,富士製薬工業,,,108,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
オルガドロン注射液１．９ｍｇ,デキサメタゾンリン酸エステルナトリウム,１．９ｍｇ０．５ｍＬ１管,2454405H2020,サンドファーマ,,,129,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
デカドロン注射液３．３ｍｇ,デキサメタゾンリン酸エステルナトリウム,３．３ｍｇ１ｍＬ１管,2454405H3027,サンドファーマ,,,173,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
デキサート注射液３．３ｍｇ,デキサメタゾンリン酸エステルナトリウム,３．３ｍｇ１ｍＬ１管,2454405H3035,富士製薬工業,,,173,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
オルガドロン注射液３．８ｍｇ,デキサメタゾンリン酸エステルナトリウム,３．８ｍｇ１ｍＬ１管,2454405H4023,サンドファーマ,,,169,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
デカドロン注射液６．６ｍｇ,デキサメタゾンリン酸エステルナトリウム,６．６ｍｇ２ｍＬ１瓶,2454405H5020,サンドファーマ,,,181,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
デキサート注射液６．６ｍｇ,デキサメタゾンリン酸エステルナトリウム,６．６ｍｇ２ｍＬ１瓶,2454405H5038,富士製薬工業,,,197,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
オルガドロン注射液１９ｍｇ,デキサメタゾンリン酸エステルナトリウム,１９ｍｇ５ｍＬ１瓶,2454405H6026,サンドファーマ,,,793,○,告示第十第一号 [デキサメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
リメタゾン静注２．５ｍｇ,デキサメタゾンパルミチン酸エステル,２．５ｍｇ１ｍＬ１管,2454407A1033,田辺ファーマ,先発品,,1776,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
リンデロン懸濁注,ベタメタゾン酢酸エステル・ベタメタゾンリン酸エステルナトリウム,２．５ｍｇ１管,2454408C1020,シオノギファーマ,,,207,○,告示第十第一号 [ベタメタゾンリン酸エステルナトリウム製剤] マッチ規則:substring,,,
ソル・メドロール静注用４０ｍｇ,メチルプレドニゾロンコハク酸エステルナトリウム,４０ｍｇ１瓶（溶解液付）,2456400D1067,ファイザー,先発品,,270,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ソル・メドロール静注用１２５ｍｇ,メチルプレドニゾロンコハク酸エステルナトリウム,１２５ｍｇ１瓶（溶解液付）,2456400D2098,ファイザー,先発品,,593,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ソル・メドロール静注用５００ｍｇ,メチルプレドニゾロンコハク酸エステルナトリウム,５００ｍｇ１瓶（溶解液付）,2456400D3094,ファイザー,先発品,,1610,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ソル・メドロール静注用１０００ｍｇ,メチルプレドニゾロンコハク酸エステルナトリウム,１ｇ１瓶（溶解液付）,2456400D4074,ファイザー,先発品,,2782,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
デポ・メドロール水懸注２０ｍｇ,メチルプレドニゾロン酢酸エステル,２０ｍｇ１ｍＬ１瓶,2456402C1044,ファイザー,,,194,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
デポ・メドロール水懸注４０ｍｇ,メチルプレドニゾロン酢酸エステル,４０ｍｇ１ｍＬ１瓶,2456402C2040,ファイザー,,,368,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
注射用プレドニゾロンコハク酸エステルナトリウム,プレドニゾロンコハク酸エステルナトリウム,１０ｍｇ１管,2456405D1019,,,局,226,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
注射用プレドニゾロンコハク酸エステルナトリウム,プレドニゾロンコハク酸エステルナトリウム,２０ｍｇ１管,2456405D2015,,,局,309,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
注射用プレドニゾロンコハク酸エステルナトリウム,プレドニゾロンコハク酸エステルナトリウム,５０ｍｇ１管,2456405D3011,,,局,603,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
テストステロンエナント酸エステル注射液,テストステロンエナント酸エステル,１２５ｍｇ１ｍＬ１管,2461400A1010,,,局,624,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エナルモンデポー筋注１２５ｍｇ,テストステロンエナント酸エステル,１２５ｍｇ１ｍＬ１管,2461400A1079,あすか製薬,,局,712,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
テスチノンデポー筋注用２５０ｍｇ,テストステロンエナント酸エステル,２５０ｍｇ１ｍＬ１管,2461400A2083,富士製薬工業,,局,1144,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エナルモンデポー筋注２５０ｍｇ,テストステロンエナント酸エステル,２５０ｍｇ１ｍＬ１管,2461400A2091,あすか製薬,,局,1295,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
テストステロンプロピオン酸エステル注射液,テストステロンプロピオン酸エステル,１０ｍｇ１管,2461401A1014,,,局,233,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
テストステロンプロピオン酸エステル注射液,テストステロンプロピオン酸エステル,２５ｍｇ１管,2461401A2010,,,局,306,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エストラジオール安息香酸エステル水性懸濁注射液,エストラジオール安息香酸エステル,０．２ｍｇ１管,2473401C1016,,,局,102,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エストラジオール安息香酸エステル水性懸濁注射液,エストラジオール安息香酸エステル,１ｍｇ１管,2473401C2012,,,局,169,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ペラニンデポー筋注１０ｍｇ,エストラジオール吉草酸エステル,１０ｍｇ１管,2473402A2040,持田製薬,,,224,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,R9.3.31まで,経過措置,
プロギノン・デポー筋注１０ｍｇ,エストラジオール吉草酸エステル,１０ｍｇ１管,2473402A2059,富士製薬工業,,,306,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エストリオール水性懸濁注射液,エストリオール,１０ｍｇ１ｍＬ１管,2475401A2016,,,局,160,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
プロゲデポー筋注１２５ｍｇ,ヒドロキシプロゲステロンカプロン酸エステル,１２５ｍｇ１管,2477400A2075,持田製薬,,,180,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,R9.3.31まで,経過措置,
プロゲステロン注射液,プロゲステロン,１０ｍｇ１管,2477401A1014,,,局,110,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
プロゲステロン注射液,プロゲステロン,２５ｍｇ１管,2477401A4013,,,局,134,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
プロゲステロン注射液,プロゲステロン,５０ｍｇ１管,2477401A5010,,,局,181,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
デポスタット筋注２００ｍｇ,ゲストノロンカプロン酸エステル,１０％２ｍＬ１管,2479401A1035,富士製薬工業,先発品,,1956,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,R9.3.31まで,経過措置,
プリモジアン・デポー筋注,テストステロンエナント酸エステル・エストラジオール吉草酸エステル,１ｍＬ１管,2481402A1054,富士製薬工業,,,530,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ルテスデポー注,ヒドロキシプロゲステロンカプロン酸エステル・エストラジオール安息香酸エステル,１ｍＬ１管,2482403A1021,持田製薬,,,279,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,R9.3.31まで,経過措置,
ヒューマリンＮ注１００単位／ｍＬ,インスリン　ヒト（遺伝子組換え）,１００単位１ｍＬバイアル,2492403A3047,日本イーライリリー,先発品,局,269,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ノボリンＲ注　１００単位／ｍＬ,インスリン　ヒト（遺伝子組換え）,１００単位１ｍＬバイアル,2492403A4043,ノボ　ノルディスク　ファーマ,先発品,局,243,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマリンＲ注１００単位／ｍＬ,インスリン　ヒト（遺伝子組換え）,１００単位１ｍＬバイアル,2492403A4051,日本イーライリリー,先発品,局,228,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマリン３／７注１００単位／ｍＬ,インスリン　ヒト（遺伝子組換え）,１００単位１ｍＬバイアル,2492403H1034,日本イーライリリー,先発品,局,307,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマリンＲ注カート,インスリン　ヒト（遺伝子組換え）,３００単位１筒,2492403H4041,日本イーライリリー,先発品,局,864,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマリンＮ注カート,インスリン　ヒト（遺伝子組換え）,３００単位１筒,2492403H5030,日本イーライリリー,先発品,局,920,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマリン３／７注カート,インスリン　ヒト（遺伝子組換え）,３００単位１筒,2492403H6036,日本イーライリリー,先発品,局,913,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ノボリンＮ注フレックスペン,インスリン　ヒト（遺伝子組換え）,３００単位１キット,2492413G1059,ノボ　ノルディスク　ファーマ,先発品,局,1122,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ノボリン３０Ｒ注フレックスペン,インスリン　ヒト（遺伝子組換え）,３００単位１キット,2492413G5054,ノボ　ノルディスク　ファーマ,先発品,局,1181,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ノボリンＲ注フレックスペン,インスリン　ヒト（遺伝子組換え）,３００単位１キット,2492413G8053,ノボ　ノルディスク　ファーマ,先発品,局,997,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマリン３／７注ミリオペン,インスリン　ヒト（遺伝子組換え）,３００単位１キット,2492413G9025,日本イーライリリー,先発品,局,1296,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマリンＮ注ミリオペン,インスリン　ヒト（遺伝子組換え）,３００単位１キット,2492413P1024,日本イーライリリー,先発品,局,1243,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマリンＲ注ミリオペン,インスリン　ヒト（遺伝子組換え）,３００単位１キット,2492413P2020,日本イーライリリー,先発品,局,1159,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマログ注カート,インスリンリスプロ（遺伝子組換え）,３００単位１筒,2492414A1026,日本イーライリリー,先発品,,903,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマログ注１００単位／ｍＬ,インスリンリスプロ（遺伝子組換え）,１００単位１ｍＬバイアル,2492414A2030,日本イーライリリー,先発品,,215,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマログミックス２５注カート,インスリンリスプロ（遺伝子組換え）,３００単位１筒,2492414A3029,日本イーライリリー,先発品,,969,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマログミックス５０注カート,インスリンリスプロ（遺伝子組換え）,３００単位１筒,2492414A4025,日本イーライリリー,先発品,,982,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ルムジェブ注１００単位／ｍＬ,インスリンリスプロ（遺伝子組換え）,１００単位１ｍＬバイアル,2492414A6028,日本イーライリリー,先発品,,256,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ルムジェブ注カート,インスリンリスプロ（遺伝子組換え）,３００単位１筒,2492414A7024,日本イーライリリー,先発品,,1104,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマログ注ミリオペン,インスリンリスプロ（遺伝子組換え）,３００単位１キット,2492414G5024,日本イーライリリー,先発品,,1108,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマログミックス２５注ミリオペン,インスリンリスプロ（遺伝子組換え）,３００単位１キット,2492414G6020,日本イーライリリー,先発品,,1208,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマログミックス５０注ミリオペン,インスリンリスプロ（遺伝子組換え）,３００単位１キット,2492414G7027,日本イーライリリー,先発品,,1168,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ヒューマログ注ミリオペンＨＤ,インスリンリスプロ（遺伝子組換え）,３００単位１キット,2492414G9020,日本イーライリリー,先発品,,1108,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ルムジェブ注ミリオペン,インスリンリスプロ（遺伝子組換え）,３００単位１キット,2492414P1029,日本イーライリリー,先発品,,1293,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ルムジェブ注ミリオペンＨＤ,インスリンリスプロ（遺伝子組換え）,３００単位１キット,2492414P2025,日本イーライリリー,先発品,,1293,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ノボラピッド注　ペンフィル,インスリンアスパルト（遺伝子組換え）,３００単位１筒,2492415A2035,ノボ　ノルディスク　ファーマ,先発品,,732,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ノボラピッド注　１００単位／ｍＬ,インスリンアスパルト（遺伝子組換え）,１００単位１ｍＬバイアル,2492415A3031,ノボ　ノルディスク　ファーマ,先発品,,158,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ノボラピッド３０ミックス注　ペンフィル,インスリンアスパルト（遺伝子組換え）,３００単位１筒,2492415A4038,ノボ　ノルディスク　ファーマ,先発品,,963,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
