販売名,成分名,規格,YJコード,メーカー,先発後発,局方,薬価,院外処方可否,判定根拠,廃止経過措置,廃止区分,備考
ミダゾラム注１０ｍｇ「サンド」,ミダゾラム,１０ｍｇ２ｍＬ１管,1124401A1060,サンド,,,92,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ミダゾラム注射液１０ｍｇ「ＮＩＧ」,ミダゾラム,１０ｍｇ２ｍＬ１管,1124401A1095,日医工岐阜工場,,,115,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ジアゼパム注射液５ｍｇ「ＮＩＧ」,ジアゼパム,５ｍｇ１管,1124402A1057,日医工岐阜工場,,,120,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ホリゾン注射液１０ｍｇ,ジアゼパム,１０ｍｇ１管,1124402A2045,丸石製薬,先発品,,118,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ジアゼパム注射液１０ｍｇ「ＮＩＧ」,ジアゼパム,１０ｍｇ１管,1124402A2070,日医工岐阜工場,,,118,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
フェノバール注射液１００ｍｇ,フェノバルビタール,１０％１ｍＬ１管,1125402A1054,藤永製薬,,,70,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
プレセデックス静注液２００μｇ「ファイザー」,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,1129400A1054,ファイザー,先発品,,2154,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
デクスメデトミジン静注液２００μｇ「サンド」,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,1129400A1062,サンド,,,1076,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
デクスメデトミジン静注液２００μｇ「ニプロ」,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,1129400A1070,ニプロ,,,1434,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
プレセデックス静注液２００μｇ／５０ｍＬシリンジ「ファイザー」,デクスメデトミジン塩酸塩,２００μｇ５０ｍＬ１筒,1129400G1022,ファイザー,先発品,,1927,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
デクスメデトミジン静注液２００μｇ／５０ｍＬシリンジ「ニプロ」,デクスメデトミジン塩酸塩,２００μｇ５０ｍＬ１筒,1129400G1049,ニプロ,,,1877,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アレビアチン注２５０ｍｇ,フェニトインナトリウム,５％５ｍＬ１管,1132400A1033,住友ファーマ,先発品,,123,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
